uuid,groupIds,principalType,properties,userId,username
00000000-0000-0000-0000-000000002710,1002/1002/1002,PRINCIPAL_LOCAL,,1002,bbn
00000000-0000-0000-0000-000000002711,1000/1000/1000,PRINCIPAL_LOCAL,,1000,theia
00000000-0000-0000-0000-000000002712,1004/1004/1004,PRINCIPAL_LOCAL,,1004,steve
00000000-0000-0000-0000-000000002713,122/122/122,PRINCIPAL_LOCAL,,111,rtkit
00000000-0000-0000-0000-000000002714,118/118/118,PRINCIPAL_LOCAL,,107,avahi
00000000-0000-0000-0000-000000002715,105/105/105,PRINCIPAL_LOCAL,,102,messagebus
00000000-0000-0000-0000-000000002716,108/108/108,PRINCIPAL_LOCAL,,103,colord
00000000-0000-0000-0000-000000002717,0/0/0,PRINCIPAL_LOCAL,,0,root
00000000-0000-0000-0000-000000002718,30/30/30,PRINCIPAL_LOCAL,,65534,nobody
00000000-0000-0000-0000-000000002719,114/114/114,PRINCIPAL_LOCAL,,105,whoopsie
00000000-0000-0000-0000-00000000271a,43/43/43,PRINCIPAL_LOCAL,,1004,steve
00000000-0000-0000-0000-00000000271b,65534/65534/65534,PRINCIPAL_LOCAL,,115,sshd
00000000-0000-0000-0000-00000000271c,1000/1000/1000,PRINCIPAL_LOCAL,,1000,theia
00000000-0000-0000-0bb2-729ff68265a7,,PRINCIPAL_LOCAL,,TA3-IGNORE,TA3-IGNORE
00000000-0000-0000-0000-00000000271d,1000/1000/1000,PRINCIPAL_LOCAL,,1000,theia
00000000-0000-0000-0000-00000000271e,0/0/0,PRINCIPAL_LOCAL,,0,root
00000000-0000-0000-0000-00000000271f,1004/1004/1004,PRINCIPAL_LOCAL,,1004,steve
00000000-0000-0000-0000-000000002720,122/122/122,PRINCIPAL_LOCAL,,111,rtkit
00000000-0000-0000-0000-000000002721,30/30/30,PRINCIPAL_LOCAL,,65534,nobody
00000000-0000-0000-0000-000000002722,114/114/114,PRINCIPAL_LOCAL,,105,whoopsie
00000000-0000-0000-0000-000000002723,118/118/118,PRINCIPAL_LOCAL,,107,avahi
00000000-0000-0000-0000-00000000272e,1000/1000/1000,PRINCIPAL_LOCAL,,1000,theia
00000000-0000-0000-0000-00000000272f,0/0/0,PRINCIPAL_LOCAL,,0,root
00000000-0000-0000-0000-000000002730,103/103/103,PRINCIPAL_LOCAL,,101,syslog
00000000-0000-0000-0000-000000002731,105/105/105,PRINCIPAL_LOCAL,,102,messagebus
00000000-0000-0000-0000-000000002732,1004/1004/1004,PRINCIPAL_LOCAL,,1004,steve
00000000-0000-0000-0000-000000002733,122/122/122,PRINCIPAL_LOCAL,,111,rtkit
00000000-0000-0000-0000-000000002734,108/108/108,PRINCIPAL_LOCAL,,103,colord
00000000-0000-0000-0000-000000002735,118/118/118,PRINCIPAL_LOCAL,,107,avahi
00000000-0000-0000-0000-000000002736,30/30/30,PRINCIPAL_LOCAL,,65534,nobody
00000000-0000-0000-0000-000000002737,114/114/114,PRINCIPAL_LOCAL,,105,whoopsie
00000000-0000-0000-0000-000000002734,1000/1000/1000,PRINCIPAL_LOCAL,,1000,theia
00000000-0000-0000-0000-000000002735,0/0/0,PRINCIPAL_LOCAL,,0,root
00000000-0000-0000-0000-000000002736,103/103/103,PRINCIPAL_LOCAL,,101,syslog
00000000-0000-0000-0000-000000002737,105/105/105,PRINCIPAL_LOCAL,,102,messagebus
00000000-0000-0000-0000-000000002738,1004/1004/1004,PRINCIPAL_LOCAL,,1004,steve
00000000-0000-0000-0000-000000002739,122/122/122,PRINCIPAL_LOCAL,,111,rtkit
00000000-0000-0000-0000-00000000273a,108/108/108,PRINCIPAL_LOCAL,,103,colord
00000000-0000-0000-0000-00000000273b,118/118/118,PRINCIPAL_LOCAL,,107,avahi
00000000-0000-0000-0000-00000000273c,30/30/30,PRINCIPAL_LOCAL,,65534,nobody
00000000-0000-0000-0000-00000000273d,114/114/114,PRINCIPAL_LOCAL,,105,whoopsie
