segment_id,segment_type,segment_type_instance
seg_1,VRangeType,0-360
seg_2,VRangeType,361-720
seg_3,VRangeType,721-1080
seg_4,VRangeType,1081-1440
seg_5,VRangeType,1441-1800
seg_6,VRangeType,1801-2160
seg_7,VRangeType,2161-2520
seg_8,VRangeType,2521-2880
seg_9,VRangeType,2881-3240
seg_10,VRangeType,3241-3600
seg_11,VRangeType,3601-3960
seg_12,VRangeType,3961-4320
seg_13,VRangeType,4321-4680
seg_14,VRangeType,4681-5040
seg_15,VRangeType,5041-5400
seg_16,VRangeType,5401-5760
seg_17,VRangeType,5761-6120
seg_18,VRangeType,6121-6480
seg_19,VRangeType,6481-6840
seg_20,VRangeType,6841-7200
seg_21,VRangeType,7201-7560
seg_22,VRangeType,7561-7920
seg_23,VRangeType,7921-8280
seg_24,VRangeType,8281-8640
seg_25,VRangeType,8641-9000
seg_26,VRangeType,9001-9360
seg_27,VRangeType,9361-9720
seg_28,VRangeType,9721-10080
seg_29,VRangeType,10081-10440
seg_30,VRangeType,10441-10800
seg_31,VRangeType,10801-11160
seg_32,VRangeType,11161-11520
seg_33,VRangeType,11521-11880
seg_34,VRangeType,11881-12240
seg_35,VRangeType,12241-12600
seg_36,VRangeType,12601-12960
seg_37,VRangeType,12961-13320
seg_38,VRangeType,13321-13680
seg_39,VRangeType,13681-14040
seg_40,VRangeType,14041-14400
seg_41,VRangeType,14401-14760
seg_42,VRangeType,14761-15120
seg_43,VRangeType,15121-15480
seg_44,VRangeType,15481-15840
seg_45,VRangeType,15841-16200
seg_46,VRangeType,16201-16560
seg_47,VRangeType,16561-16920
seg_48,VRangeType,16921-17280
seg_49,VRangeType,17281-17640
seg_50,VRangeType,17641-18000
seg_51,VRangeType,18001-18360
seg_52,VRangeType,18361-18720
seg_53,VRangeType,18721-19080
seg_54,VRangeType,19081-19440
seg_55,VRangeType,19441-19800
seg_56,VRangeType,19801-20160
seg_57,VRangeType,20161-20520
seg_58,VRangeType,20521-20880
seg_59,VRangeType,20881-21240
seg_60,VRangeType,21241-21600
seg_61,VRangeType,21601-21960
seg_62,VRangeType,21961-22320
seg_63,VRangeType,22321-22680
seg_64,VRangeType,22681-23040
seg_65,VRangeType,23041-23400
seg_66,VRangeType,23401-23760
seg_67,VRangeType,23761-24120
seg_68,VRangeType,24121-24480
seg_69,VRangeType,24481-24840
seg_70,VRangeType,24841-25200
seg_71,VRangeType,25201-25560
seg_72,VRangeType,25561-25920
seg_73,VRangeType,25921-26280
seg_74,VRangeType,26281-26640
seg_75,VRangeType,26641-27000
seg_76,VRangeType,27001-27360
seg_77,VRangeType,27361-27720
seg_78,VRangeType,27721-28080
seg_79,VRangeType,28081-28440
seg_80,VRangeType,28441-28800
seg_81,VRangeType,28801-29160
seg_82,VRangeType,29161-29520
seg_83,VRangeType,29521-29880
seg_84,VRangeType,29881-30240
seg_85,VRangeType,30241-30600
seg_86,VRangeType,30601-30960
seg_87,VRangeType,30961-31320
seg_88,VRangeType,31321-31680
seg_89,VRangeType,31681-32040
seg_90,VRangeType,32041-32400
seg_91,VRangeType,32401-32760
seg_92,VRangeType,32761-33120
seg_93,VRangeType,33121-33480
seg_94,VRangeType,33481-33840
seg_95,VRangeType,33841-34200
seg_96,VRangeType,34201-34560
seg_97,VRangeType,34561-34920
seg_98,VRangeType,34921-35280
seg_99,VRangeType,35281-35640
seg_100,VRangeType,35641-36000
